Contract,tenure,InternetService,OnlineSecurity,TechSupport,MonthlyCharges,PaymentMethod,PaperlessBilling,Churn
One year,46,Fiber optic,No,No,91.3,Bank transfer (automatic),Yes,No
Month-to-month,1,DSL,No,No,49.65,Mailed check,Yes,Yes
Two year,46,DSL,No,Yes,54.35,Credit card (automatic),No,Yes
Month-to-month,25,No,No internet service,No internet service,19.15,Mailed check,Yes,No
Month-to-month,4,Fiber optic,No,No,88.45,Electronic check,Yes,Yes
Two year,13,No,No internet service,No internet service,19.75,Mailed check,No,No
One year,31,DSL,Yes,Yes,75.5,Credit card (automatic),Yes,No
Month-to-month,23,Fiber optic,No,No,83.75,Electronic check,Yes,No
Month-to-month,2,No,No internet service,No internet service,19.4,Mailed check,No,No
Two year,65,No,No internet service,No internet service,26.5,Bank transfer (automatic),No,No
Month-to-month,22,Fiber optic,No,Yes,90.5,Bank transfer (automatic),Yes,Yes
One year,55,No,No internet service,No internet service,19.15,Credit card (automatic),No,No
Month-to-month,9,Fiber optic,No,Yes,94.85,Mailed check,Yes,Yes
Month-to-month,7,Fiber optic,No,No,69.95,Bank transfer (automatic),Yes,Yes
One year,35,DSL,No,Yes,40.9,Mailed check,No,No
Two year,6,DSL,Yes,Yes,80.25,Mailed check,Yes,No
Month-to-month,1,DSL,Yes,No,48.6,Credit card (automatic),Yes,Yes
Month-to-month,17,Fiber optic,No,No,70.8,Electronic check,Yes,No
Month-to-month,10,DSL,No,No,60.2,Mailed check,No,No
One year,15,DSL,No,Yes,55.2,Credit card (automatic),No,No
Month-to-month,40,DSL,Yes,No,55.8,Electronic check,Yes,Yes
One year,13,DSL,Yes,Yes,54.15,Bank transfer (automatic),No,No
Month-to-month,29,Fiber optic,No,No,80.15,Bank transfer (automatic),Yes,Yes
Month-to-month,3,Fiber optic,No,No,75.5,Electronic check,Yes,Yes
Month-to-month,58,Fiber optic,No,Yes,100.4,Bank transfer (automatic),Yes,No
One year,45,DSL,Yes,Yes,62.55,Credit card (automatic),Yes,No
Two year,72,DSL,Yes,Yes,70.45,Bank transfer (automatic),Yes,No
One year,68,Fiber optic,Yes,No,85.5,Bank transfer (automatic),Yes,No
Month-to-month,1,No,No internet service,No internet service,20.2,Bank transfer (automatic),Yes,Yes
Month-to-month,38,DSL,Yes,No,54.5,Electronic check,No,No
Month-to-month,2,No,No internet service,No internet service,20.75,Mailed check,No,No
Month-to-month,11,No,No internet service,No internet service,20.35,Mailed check,No,No
One year,20,Fiber optic,No,No,91.0,Bank transfer (automatic),Yes,No
Two year,72,Fiber optic,No,No,104.8,Bank transfer (automatic),Yes,No
Month-to-month,3,Fiber optic,No,No,74.75,Credit card (automatic),Yes,Yes
Month-to-month,23,Fiber optic,No,Yes,104.05,Mailed check,Yes,Yes
Month-to-month,40,DSL,No,Yes,51.1,Electronic check,Yes,No
Month-to-month,62,Fiber optic,No,No,89.8,Bank transfer (automatic),Yes,No
Month-to-month,22,No,No internet service,No internet service,20.55,Electronic check,Yes,No
Month-to-month,11,DSL,Yes,No,64.05,Bank transfer (automatic),No,No
Month-to-month,7,Fiber optic,No,No,74.85,Electronic check,Yes,No
Month-to-month,13,Fiber optic,Yes,No,96.65,Electronic check,Yes,Yes
Month-to-month,1,No,No internet service,No internet service,20.05,Mailed check,No,Yes
Month-to-month,39,Fiber optic,No,No,103.45,Electronic check,Yes,Yes
Month-to-month,3,DSL,No,No,25.0,Mailed check,No,No
Two year,58,No,No internet service,No internet service,20.3,Credit card (automatic),No,No
Month-to-month,6,No,No internet service,No internet service,26.35,Mailed check,No,No
Month-to-month,1,No,No internet service,No internet service,19.9,Electronic check,Yes,Yes
Month-to-month,22,DSL,No,No,54.7,Mailed check,Yes,No
Month-to-month,14,DSL,No,No,46.35,Electronic check,No,Yes
One year,64,Fiber optic,No,No,90.25,Credit card (automatic),No,No
Month-to-month,1,No,No internet service,No internet service,19.95,Electronic check,No,Yes
Month-to-month,6,No,No internet service,No internet service,20.65,Mailed check,No,No
Month-to-month,1,Fiber optic,No,No,79.6,Electronic check,No,Yes
One year,39,No,No internet service,No internet service,25.45,Bank transfer (automatic),No,No
One year,20,No,No internet service,No internet service,19.5,Mailed check,No,No
Month-to-month,1,Fiber optic,No,Yes,75.9,Electronic check,Yes,Yes
Month-to-month,1,Fiber optic,No,No,76.2,Electronic check,No,Yes
One year,64,DSL,Yes,No,66.15,Credit card (automatic),Yes,No
Month-to-month,1,No,No internet service,No internet service,19.25,Mailed check,No,Yes
Month-to-month,46,DSL,No,No,69.1,Credit card (automatic),Yes,No
One year,28,DSL,No,No,39.1,Electronic check,Yes,No
Month-to-month,33,No,No internet service,No internet service,20.05,Mailed check,No,No
One year,39,DSL,Yes,No,59.8,Electronic check,No,No
Month-to-month,42,Fiber optic,No,Yes,84.3,Electronic check,Yes,Yes
Month-to-month,1,DSL,No,No,48.6,Electronic check,Yes,No
Month-to-month,7,Fiber optic,No,No,79.0,Electronic check,Yes,Yes
Two year,70,Fiber optic,Yes,No,105.35,Credit card (automatic),No,No
Two year,65,No,No internet service,No internet service,25.1,Bank transfer (automatic),Yes,No
Month-to-month,1,DSL,Yes,No,49.75,Electronic check,No,No
Month-to-month,18,Fiber optic,No,No,94.75,Electronic check,Yes,No
Month-to-month,24,Fiber optic,No,No,93.0,Electronic check,Yes,No
Two year,63,DSL,Yes,Yes,71.9,Bank transfer (automatic),Yes,No
One year,44,DSL,No,No,77.55,Mailed check,Yes,No
Month-to-month,4,No,No internet service,No internet service,19.85,Electronic check,Yes,No
Month-to-month,1,Fiber optic,No,No,70.25,Electronic check,Yes,Yes
Month-to-month,37,Fiber optic,No,No,95.25,Electronic check,Yes,No
Month-to-month,10,Fiber optic,No,No,84.6,Credit card (automatic),Yes,Yes
Month-to-month,34,DSL,No,No,25.05,Bank transfer (automatic),Yes,No
One year,35,DSL,Yes,No,53.15,Credit card (automatic),No,No
Month-to-month,4,No,No internet service,No internet service,20.15,Electronic check,No,No
Month-to-month,39,Fiber optic,No,Yes,101.25,Electronic check,Yes,No
One year,43,Fiber optic,No,No,100.55,Bank transfer (automatic),Yes,No
Month-to-month,17,No,No internet service,No internet service,24.1,Mailed check,No,Yes
Two year,61,No,No internet service,No internet service,25.3,Bank transfer (automatic),No,No
One year,49,DSL,Yes,No,71.8,Electronic check,No,No
One year,4,No,No internet service,No internet service,19.7,Mailed check,No,No
Two year,64,DSL,No,Yes,49.85,Electronic check,No,No
Month-to-month,3,Fiber optic,No,No,69.6,Mailed check,Yes,No
Month-to-month,1,No,No internet service,No internet service,19.75,Electronic check,No,No
One year,40,Fiber optic,No,No,80.8,Electronic check,No,No
Month-to-month,1,DSL,Yes,Yes,60.0,Electronic check,Yes,Yes
Month-to-month,8,Fiber optic,No,No,86.55,Electronic check,Yes,Yes
Month-to-month,1,No,No internet service,No internet service,20.85,Mailed check,Yes,Yes
One year,34,DSL,No,Yes,64.2,Bank transfer (automatic),No,No
Month-to-month,1,DSL,No,No,35.0,Electronic check,No,No
Month-to-month,39,DSL,No,No,50.75,Electronic check,Yes,Yes
One year,58,Fiber optic,Yes,Yes,105.5,Credit card (automatic),Yes,Yes
Two year,45,No,No internet service,No internet service,19.2,Electronic check,No,No
Month-to-month,6,Fiber optic,Yes,No,85.15,Bank transfer (automatic),Yes,Yes
One year,43,Fiber optic,Yes,Yes,90.65,Credit card (automatic),Yes,No
Two year,41,No,No internet service,No internet service,20.0,Mailed check,Yes,No
Month-to-month,5,Fiber optic,No,No,74.65,Electronic check,Yes,No
Two year,72,DSL,Yes,Yes,61.2,Credit card (automatic),Yes,No
One year,4,No,No internet service,No internet service,19.95,Mailed check,No,No
Month-to-month,9,DSL,No,Yes,54.8,Mailed check,No,No
Two year,72,DSL,No,No,73.45,Credit card (automatic),Yes,No
One year,33,DSL,No,Yes,51.45,Mailed check,Yes,No
Two year,72,Fiber optic,Yes,No,80.45,Bank transfer (automatic),No,No
Month-to-month,22,DSL,Yes,Yes,54.2,Electronic check,Yes,Yes
One year,70,Fiber optic,No,Yes,109.5,Electronic check,Yes,Yes
Month-to-month,21,Fiber optic,No,No,104.4,Electronic check,No,Yes
Month-to-month,15,Fiber optic,No,No,85.3,Electronic check,No,No
Month-to-month,29,Fiber optic,No,Yes,79.3,Electronic check,Yes,No
Month-to-month,15,DSL,No,Yes,76.5,Bank transfer (automatic),No,No
Month-to-month,71,Fiber optic,Yes,No,105.1,Credit card (automatic),Yes,Yes
Two year,72,No,No internet service,No internet service,25.4,Bank transfer (automatic),No,No
Month-to-month,19,Fiber optic,No,No,86.85,Electronic check,Yes,No
Month-to-month,1,No,No internet service,No internet service,19.65,Mailed check,No,No
Month-to-month,1,Fiber optic,No,No,75.7,Electronic check,Yes,Yes
Month-to-month,2,DSL,No,No,45.55,Electronic check,No,No
Month-to-month,11,Fiber optic,No,No,78.1,Credit card (automatic),Yes,No
One year,12,No,No internet service,No internet service,19.3,Mailed check,No,No
Two year,70,Fiber optic,No,Yes,110.5,Electronic check,Yes,No
Month-to-month,20,Fiber optic,No,No,90.8,Electronic check,No,Yes
Month-to-month,23,No,No internet service,No internet service,20.3,Bank transfer (automatic),Yes,No
Two year,49,DSL,Yes,Yes,81.35,Credit card (automatic),No,No
Month-to-month,4,Fiber optic,No,No,97.95,Electronic check,Yes,Yes
Month-to-month,32,Fiber optic,Yes,Yes,108.15,Credit card (automatic),Yes,Yes
Month-to-month,2,DSL,No,No,55.3,Electronic check,Yes,No
Two year,69,DSL,Yes,No,56.55,Credit card (automatic),No,No
Month-to-month,6,Fiber optic,No,No,80.5,Credit card (automatic),Yes,Yes
Two year,24,No,No internet service,No internet service,19.7,Mailed check,Yes,No
One year,32,Fiber optic,No,No,104.05,Credit card (automatic),Yes,No
Two year,27,DSL,Yes,No,52.85,Bank transfer (automatic),No,No
Month-to-month,27,Fiber optic,Yes,Yes,104.3,Bank transfer (automatic),Yes,Yes
Month-to-month,58,Fiber optic,No,Yes,80.65,Bank transfer (automatic),No,No
Month-to-month,1,Fiber optic,No,No,71.35,Mailed check,Yes,Yes
Two year,18,No,No internet service,No internet service,24.65,Credit card (automatic),Yes,No
Two year,47,No,No internet service,No internet service,21.3,Bank transfer (automatic),Yes,No
Two year,70,Fiber optic,No,Yes,110.2,Electronic check,Yes,No
Month-to-month,13,Fiber optic,No,Yes,89.4,Electronic check,No,Yes
Month-to-month,36,DSL,Yes,No,51.05,Credit card (automatic),No,No
Two year,67,No,No internet service,No internet service,19.8,Mailed check,Yes,No
Month-to-month,10,No,No internet service,No internet service,19.9,Mailed check,Yes,No
Month-to-month,19,Fiber optic,Yes,No,87.3,Electronic check,Yes,No
Two year,71,No,No internet service,No internet service,19.85,Bank transfer (automatic),No,No
Two year,72,DSL,Yes,Yes,89.4,Mailed check,Yes,No
Two year,48,No,No internet service,No internet service,20.0,Mailed check,No,No
Month-to-month,1,No,No internet service,No internet service,20.05,Mailed check,No,No
Month-to-month,18,DSL,Yes,Yes,83.25,Electronic check,No,No
Month-to-month,1,No,No internet service,No internet service,20.6,Mailed check,No,Yes
Two year,67,Fiber optic,No,Yes,102.9,Bank transfer (automatic),No,No
Two year,69,DSL,Yes,Yes,39.1,Mailed check,No,No
Month-to-month,19,Fiber optic,No,No,99.95,Electronic check,Yes,Yes
Two year,72,Fiber optic,Yes,Yes,114.5,Mailed check,Yes,No
Two year,38,No,No internet service,No internet service,20.2,Mailed check,No,No
One year,40,DSL,No,No,55.8,Electronic check,No,No
Two year,61,No,No internet service,No internet service,24.2,Mailed check,Yes,No
Month-to-month,10,Fiber optic,No,No,81.0,Credit card (automatic),Yes,Yes
One year,32,DSL,Yes,Yes,72.8,Credit card (automatic),Yes,No
Month-to-month,21,Fiber optic,No,No,99.85,Credit card (automatic),Yes,No
One year,59,Fiber optic,No,No,99.5,Electronic check,Yes,No
Month-to-month,13,Fiber optic,No,No,70.15,Electronic check,Yes,Yes
Two year,47,No,No internet service,No internet service,20.25,Credit card (automatic),No,No
Two year,69,No,No internet service,No internet service,26.0,Bank transfer (automatic),Yes,No
Month-to-month,2,No,No internet service,No internet service,19.9,Credit card (automatic),Yes,No
Month-to-month,22,No,No internet service,No internet service,19.05,Bank transfer (automatic),No,No
Month-to-month,15,Fiber optic,Yes,No,96.5,Electronic check,Yes,No
Two year,53,No,No internet service,No internet service,19.85,Credit card (automatic),No,No
Month-to-month,28,No,No internet service,No internet service,25.7,Mailed check,No,No
One year,22,No,No internet service,No internet service,20.3,Mailed check,No,No
Month-to-month,1,Fiber optic,No,No,70.15,Mailed check,Yes,Yes
Month-to-month,16,Fiber optic,No,Yes,91.55,Electronic check,Yes,No
Two year,48,DSL,Yes,Yes,39.4,Mailed check,No,No
Month-to-month,30,Fiber optic,Yes,Yes,105.7,Bank transfer (automatic),Yes,No
Month-to-month,3,Fiber optic,No,No,70.25,Electronic check,Yes,No
Two year,57,Fiber optic,Yes,Yes,93.75,Electronic check,No,No
One year,68,Fiber optic,Yes,No,96.55,Credit card (automatic),Yes,Yes
One year,23,DSL,No,Yes,60.0,Bank transfer (automatic),No,No
Two year,65,DSL,No,Yes,59.8,Credit card (automatic),Yes,No
One year,44,Fiber optic,No,No,90.65,Bank transfer (automatic),Yes,No
Two year,71,Fiber optic,Yes,No,109.0,Bank transfer (automatic),Yes,No
One year,37,DSL,Yes,Yes,68.1,Credit card (automatic),No,No
Month-to-month,12,No,No internet service,No internet service,20.4,Mailed check,No,No
Two year,69,DSL,No,Yes,81.95,Bank transfer (automatic),Yes,No
Month-to-month,35,DSL,Yes,No,60.55,Electronic check,No,No
Month-to-month,5,DSL,No,Yes,65.6,Bank transfer (automatic),Yes,No
Two year,58,Fiber optic,No,No,82.5,Bank transfer (automatic),No,No
Two year,72,DSL,Yes,Yes,82.3,Bank transfer (automatic),Yes,No
Two year,72,DSL,Yes,Yes,68.15,Mailed check,No,No
Month-to-month,1,No,No internet service,No internet service,20.3,Credit card (automatic),No,No
One year,39,Fiber optic,Yes,Yes,95.55,Electronic check,Yes,Yes
One year,53,No,No internet service,No internet service,20.2,Credit card (automatic),No,No
Month-to-month,27,Fiber optic,No,Yes,89.2,Electronic check,Yes,No
Month-to-month,1,Fiber optic,No,No,69.65,Electronic check,Yes,Yes
Month-to-month,1,Fiber optic,No,No,89.3,Electronic check,Yes,Yes
Month-to-month,18,Fiber optic,Yes,No,74.8,Electronic check,No,No
Two year,46,No,No internet service,No internet service,20.2,Mailed check,Yes,No
Two year,72,DSL,Yes,Yes,84.4,Credit card (automatic),Yes,No
Month-to-month,36,Fiber optic,No,Yes,87.55,Electronic check,Yes,Yes
Month-to-month,4,DSL,No,No,25.15,Electronic check,Yes,No
Two year,25,No,No internet service,No internet service,19.8,Credit card (automatic),No,No
Month-to-month,40,DSL,No,No,50.85,Electronic check,Yes,No
Month-to-month,63,Fiber optic,No,No,102.4,Electronic check,Yes,No
Month-to-month,15,Fiber optic,Yes,Yes,96.3,Mailed check,Yes,Yes
Month-to-month,14,DSL,No,No,55.5,Credit card (automatic),Yes,No
Two year,72,Fiber optic,No,Yes,109.75,Bank transfer (automatic),Yes,No
Month-to-month,39,Fiber optic,Yes,No,106.4,Electronic check,Yes,No
Two year,47,DSL,Yes,No,60.0,Credit card (automatic),Yes,No
Month-to-month,19,Fiber optic,Yes,Yes,88.8,Credit card (automatic),Yes,No
Month-to-month,5,Fiber optic,No,No,85.2,Electronic check,Yes,Yes
Month-to-month,13,DSL,No,No,35.1,Electronic check,Yes,Yes
Month-to-month,17,Fiber optic,No,No,80.05,Bank transfer (automatic),No,No
Month-to-month,34,Fiber optic,No,No,75.55,Electronic check,Yes,No
Month-to-month,42,DSL,No,No,49.55,Electronic check,Yes,No
Month-to-month,5,Fiber optic,No,No,81.3,Electronic check,Yes,Yes
Two year,71,No,No internet service,No internet service,23.9,Credit card (automatic),No,No
Month-to-month,19,DSL,Yes,No,66.4,Bank transfer (automatic),No,No
Month-to-month,2,No,No internet service,No internet service,19.6,Electronic check,Yes,Yes
Two year,57,No,No internet service,No internet service,18.8,Credit card (automatic),No,No
Two year,72,Fiber optic,No,Yes,108.4,Electronic check,Yes,No
Month-to-month,6,Fiber optic,No,No,85.95,Mailed check,Yes,No
Month-to-month,17,Fiber optic,No,No,85.45,Electronic check,Yes,Yes
Two year,61,DSL,No,No,80.9,Bank transfer (automatic),No,No
Month-to-month,1,Fiber optic,No,No,71.0,Electronic check,Yes,Yes
Two year,48,Fiber optic,Yes,Yes,111.8,Credit card (automatic),No,No
Month-to-month,16,No,No internet service,No internet service,20.6,Credit card (automatic),Yes,No
Month-to-month,9,Fiber optic,No,No,85.05,Electronic check,Yes,Yes
Month-to-month,3,DSL,No,No,44.6,Electronic check,No,No
Month-to-month,1,DSL,No,No,44.4,Electronic check,Yes,Yes
Two year,65,Fiber optic,No,No,105.1,Credit card (automatic),No,No
Two year,70,Fiber optic,Yes,Yes,115.15,Credit card (automatic),Yes,No
One year,60,DSL,Yes,No,59.8,Mailed check,Yes,No
One year,69,No,No internet service,No internet service,26.3,Electronic check,Yes,No
Month-to-month,35,Fiber optic,No,No,70.55,Electronic check,No,No
Month-to-month,22,No,No internet service,No internet service,20.05,Mailed check,Yes,No
Two year,66,DSL,No,No,79.85,Bank transfer (automatic),No,No
Month-to-month,1,Fiber optic,No,No,70.3,Electronic check,Yes,Yes
Month-to-month,1,Fiber optic,No,No,79.35,Bank transfer (automatic),Yes,Yes
Month-to-month,34,Fiber optic,No,No,90.05,Credit card (automatic),Yes,No
Two year,72,No,No internet service,No internet service,24.45,Bank transfer (automatic),No,No
One year,31,DSL,Yes,Yes,59.95,Electronic check,No,No
One year,30,No,No internet service,No internet service,25.35,Bank transfer (automatic),No,No
Month-to-month,9,Fiber optic,No,No,90.8,Bank transfer (automatic),Yes,Yes
Month-to-month,20,Fiber optic,No,No,70.45,Electronic check,Yes,Yes
Month-to-month,19,DSL,No,No,34.3,Credit card (automatic),Yes,No
Month-to-month,65,Fiber optic,Yes,No,105.05,Electronic check,Yes,No
Two year,30,No,No internet service,No internet service,19.3,Mailed check,No,No
One year,6,No,No internet service,No internet service,19.15,Mailed check,No,No
Month-to-month,2,DSL,No,No,51.4,Electronic check,No,No
Month-to-month,53,DSL,Yes,Yes,71.85,Electronic check,No,No
Month-to-month,7,Fiber optic,No,No,75.4,Electronic check,Yes,No
One year,61,DSL,Yes,No,49.7,Bank transfer (automatic),Yes,No
One year,70,DSL,No,No,45.25,Electronic check,Yes,Yes
Month-to-month,13,DSL,Yes,No,78.75,Electronic check,Yes,No
One year,35,Fiber optic,No,No,81.6,Bank transfer (automatic),Yes,No
Month-to-month,2,Fiber optic,No,No,70.4,Credit card (automatic),Yes,No
Month-to-month,3,Fiber optic,No,No,75.8,Electronic check,Yes,Yes
Month-to-month,3,Fiber optic,No,No,76.1,Electronic check,No,No
One year,62,Fiber optic,No,No,94.0,Bank transfer (automatic),Yes,No
Two year,72,Fiber optic,Yes,Yes,103.95,Credit card (automatic),No,No
Two year,63,No,No internet service,No internet service,19.95,Bank transfer (automatic),Yes,No
Month-to-month,20,Fiber optic,No,No,71.3,Credit card (automatic),No,Yes
One year,35,Fiber optic,Yes,Yes,110.8,Bank transfer (automatic),Yes,No
Month-to-month,21,Fiber optic,No,No,69.1,Electronic check,Yes,Yes
One year,62,Fiber optic,Yes,No,96.1,Electronic check,No,No
Month-to-month,15,DSL,No,No,48.8,Mailed check,Yes,No
Month-to-month,55,DSL,Yes,No,50.55,Credit card (automatic),Yes,No
Month-to-month,11,DSL,No,No,44.65,Mailed check,Yes,No
Month-to-month,17,Fiber optic,No,No,88.25,Electronic check,No,Yes
One year,61,No,No internet service,No internet service,19.45,Bank transfer (automatic),No,No
Two year,71,DSL,Yes,Yes,89.3,Credit card (automatic),No,No
Month-to-month,2,Fiber optic,No,No,70.0,Bank transfer (automatic),No,Yes
Two year,35,No,No internet service,No internet service,19.25,Mailed check,No,No
Month-to-month,17,Fiber optic,No,No,70.5,Bank transfer (automatic),No,No
Month-to-month,21,Fiber optic,No,No,97.35,Electronic check,Yes,Yes
Two year,47,No,No internet service,No internet service,19.65,Bank transfer (automatic),No,No
Month-to-month,3,No,No internet service,No internet service,20.85,Mailed check,No,No
Month-to-month,3,No,No internet service,No internet service,19.65,Mailed check,Yes,No
Two year,44,No,No internet service,No internet service,19.35,Credit card (automatic),Yes,No
Month-to-month,1,DSL,No,No,44.0,Mailed check,Yes,No
One year,44,Fiber optic,No,No,94.4,Electronic check,No,No
Month-to-month,5,No,No internet service,No internet service,25.9,Bank transfer (automatic),Yes,Yes
Month-to-month,24,DSL,Yes,No,55.65,Bank transfer (automatic),Yes,Yes
Month-to-month,1,Fiber optic,No,No,69.65,Electronic check,Yes,Yes
Month-to-month,18,Fiber optic,Yes,No,75.4,Electronic check,Yes,No
Month-to-month,10,Fiber optic,No,No,100.6,Electronic check,Yes,Yes
Two year,65,DSL,Yes,No,71.0,Bank transfer (automatic),No,No
Month-to-month,1,Fiber optic,No,No,86.0,Electronic check,Yes,Yes
One year,53,Fiber optic,Yes,No,106.95,Credit card (automatic),Yes,Yes
One year,3,No,No internet service,No internet service,21.2,Mailed check,No,No
Two year,33,DSL,Yes,Yes,61.05,Mailed check,Yes,No
Month-to-month,3,DSL,No,No,29.6,Electronic check,Yes,Yes
One year,34,DSL,Yes,Yes,79.95,Bank transfer (automatic),Yes,No
Two year,14,No,No internet service,No internet service,19.7,Mailed check,Yes,No
Month-to-month,13,No,No internet service,No internet service,20.3,Mailed check,Yes,No
One year,46,DSL,No,Yes,59.9,Bank transfer (automatic),Yes,Yes
One year,23,No,No internet service,No internet service,24.35,Mailed check,No,No
Two year,47,No,No internet service,No internet service,19.75,Mailed check,No,No
Month-to-month,17,DSL,Yes,No,50.3,Mailed check,Yes,No
Month-to-month,49,Fiber optic,No,No,95.6,Electronic check,Yes,Yes
Month-to-month,59,DSL,No,No,50.25,Electronic check,Yes,No
Two year,69,DSL,Yes,Yes,85.35,Credit card (automatic),Yes,No
One year,11,DSL,No,No,41.6,Electronic check,Yes,Yes
Month-to-month,10,DSL,Yes,No,51.65,Mailed check,Yes,No
Two year,12,No,No internet service,No internet service,24.0,Bank transfer (automatic),Yes,No
Month-to-month,45,Fiber optic,No,No,100.85,Credit card (automatic),Yes,Yes
Month-to-month,39,DSL,No,No,59.85,Mailed check,Yes,No
Two year,71,No,No internet service,No internet service,25.45,Credit card (automatic),No,No
Two year,71,No,No internet service,No internet service,23.9,Credit card (automatic),No,No
One year,33,No,No internet service,No internet service,24.15,Credit card (automatic),No,No
Month-to-month,67,Fiber optic,No,No,75.7,Mailed check,Yes,No
Month-to-month,37,DSL,Yes,No,40.2,Bank transfer (automatic),No,Yes
Month-to-month,49,Fiber optic,No,No,84.5,Electronic check,No,Yes
Month-to-month,9,DSL,No,No,50.85,Mailed check,No,No
Two year,52,Fiber optic,Yes,Yes,91.6,Credit card (automatic),Yes,No
One year,70,Fiber optic,No,No,98.9,Electronic check,No,No
Month-to-month,1,Fiber optic,No,No,85.0,Electronic check,Yes,No
Month-to-month,14,Fiber optic,No,No,78.95,Electronic check,Yes,Yes
Month-to-month,1,DSL,No,No,44.3,Mailed check,Yes,No
Month-to-month,1,No,No internet service,No internet service,20.2,Mailed check,No,Yes
One year,52,Fiber optic,No,No,80.2,Mailed check,Yes,No
Month-to-month,6,DSL,No,No,60.9,Mailed check,No,No
Month-to-month,7,DSL,Yes,No,34.2,Mailed check,No,No
Month-to-month,47,Fiber optic,No,No,85.2,Bank transfer (automatic),Yes,Yes
One year,26,Fiber optic,Yes,Yes,87.15,Credit card (automatic),Yes,No
Month-to-month,25,DSL,Yes,Yes,54.3,Electronic check,No,No
Two year,69,No,No internet service,No internet service,19.1,Mailed check,Yes,No
Two year,72,Fiber optic,Yes,Yes,112.75,Credit card (automatic),Yes,No
Month-to-month,4,No,No internet service,No internet service,19.95,Mailed check,Yes,No
Two year,59,No,No internet service,No internet service,19.5,Mailed check,No,No
Two year,67,DSL,Yes,No,65.55,Bank transfer (automatic),No,No
Month-to-month,26,Fiber optic,No,No,78.8,Electronic check,Yes,No
One year,27,DSL,No,Yes,78.2,Mailed check,No,No
Two year,72,Fiber optic,Yes,No,105.25,Bank transfer (automatic),No,No
Month-to-month,6,Fiber optic,No,Yes,89.25,Electronic check,Yes,No
Two year,62,No,No internet service,No internet service,20.65,Credit card (automatic),No,No
One year,20,DSL,No,Yes,68.7,Electronic check,Yes,No
Month-to-month,6,DSL,Yes,Yes,78.65,Credit card (automatic),No,No
Two year,51,No,No internet service,No internet service,24.75,Mailed check,No,No
Two year,61,No,No internet service,No internet service,19.75,Credit card (automatic),No,No
Month-to-month,62,Fiber optic,Yes,No,89.1,Electronic check,Yes,No
Two year,72,Fiber optic,Yes,Yes,84.7,Bank transfer (automatic),Yes,No
Month-to-month,13,Fiber optic,No,No,98.0,Electronic check,Yes,Yes
Month-to-month,5,Fiber optic,No,No,94.45,Electronic check,Yes,Yes
Month-to-month,3,Fiber optic,No,No,105.0,Electronic check,Yes,Yes
Month-to-month,26,Fiber optic,No,No,93.85,Electronic check,Yes,Yes
Month-to-month,13,DSL,No,No,59.9,Electronic check,Yes,No
Two year,38,No,No internet service,No internet service,19.95,Mailed check,Yes,No
Month-to-month,8,Fiber optic,No,No,84.0,Electronic check,Yes,Yes
Month-to-month,34,Fiber optic,No,Yes,108.9,Electronic check,Yes,No
Month-to-month,18,DSL,Yes,No,33.6,Mailed check,No,No
One year,56,Fiber optic,No,Yes,85.85,Mailed check,Yes,No
Month-to-month,36,DSL,No,Yes,34.85,Bank transfer (automatic),Yes,No
Month-to-month,9,DSL,No,No,48.75,Electronic check,Yes,Yes
Month-to-month,1,Fiber optic,No,No,84.85,Electronic check,Yes,Yes
Month-to-month,12,DSL,Yes,Yes,56.65,Mailed check,No,Yes
Month-to-month,57,Fiber optic,No,Yes,95.3,Credit card (automatic),Yes,No
One year,42,DSL,Yes,Yes,73.9,Credit card (automatic),No,Yes
Two year,33,No,No internet service,No internet service,24.5,Mailed check,Yes,Yes
Two year,70,Fiber optic,Yes,Yes,84.6,Bank transfer (automatic),No,No
Month-to-month,68,DSL,No,Yes,44.95,Electronic check,No,No
Month-to-month,1,DSL,No,No,24.7,Electronic check,Yes,No
Month-to-month,37,Fiber optic,No,Yes,100.3,Credit card (automatic),No,No
Month-to-month,4,No,No internet service,No internet service,25.45,Mailed check,Yes,No
Month-to-month,1,DSL,Yes,No,50.7,Mailed check,Yes,No
Month-to-month,20,DSL,Yes,Yes,55.0,Credit card (automatic),Yes,No
Two year,72,DSL,Yes,Yes,68.4,Bank transfer (automatic),No,No
Month-to-month,31,Fiber optic,No,No,89.9,Electronic check,Yes,Yes
Month-to-month,18,Fiber optic,No,No,78.55,Electronic check,No,Yes
Month-to-month,11,DSL,No,No,55.05,Bank transfer (automatic),Yes,No
Two year,33,No,No internet service,No internet service,19.8,Credit card (automatic),No,No
One year,62,Fiber optic,No,No,84.45,Electronic check,No,No
Month-to-month,1,DSL,No,Yes,35.9,Mailed check,No,No
Month-to-month,16,Fiber optic,Yes,No,80.75,Bank transfer (automatic),No,No
One year,22,DSL,No,Yes,78.65,Mailed check,Yes,No
Month-to-month,49,DSL,Yes,Yes,61.75,Bank transfer (automatic),No,No
One year,36,DSL,Yes,No,63.7,Credit card (automatic),Yes,No
Month-to-month,42,Fiber optic,No,Yes,99.45,Electronic check,Yes,Yes
Month-to-month,4,DSL,No,No,25.2,Bank transfer (automatic),Yes,Yes
One year,12,DSL,No,Yes,74.05,Mailed check,No,Yes
Month-to-month,31,Fiber optic,Yes,Yes,87.6,Electronic check,No,No
Month-to-month,5,Fiber optic,Yes,No,89.15,Electronic check,Yes,No
